simulation_time,GFM_V,GFM_P,GFL634_Pa,GFL634_Pb,GFL634_Pc,GFL634_Qa,GFL634_Qb,GFL634_Qc,GFL680_Pa,GFL680_Pb,GFL680_Pc,GFL680_Qa,GFL680_Qb,GFL680_Qc,Class
486.4968,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
487.6889,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
488.9249,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
490.1088,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
491.314,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
492.5191,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
493.7255,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
494.9448,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
496.1381,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
497.3439,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
498.5534,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
499.761,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
500.9679,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
502.1746,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
503.3797,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
504.5862,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
505.7932,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
506.999,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
508.2051,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
509.4113,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
510.6182,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
511.8243,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
513.0308,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
514.2368,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
